"Time","Event",""
"00:00:00.134","Whats Rng casts  Fire III on Fatebreaker",""
"00:00:00.671","Whats Rng casts  Enochian on Whats Rng",""
"00:00:01.382","Whats Rng begins casting  Thunder III on Fatebreaker",""
"00:00:02.850","Whats Rng casts  Thunder III on Fatebreaker",""
"00:00:03.475","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:05.166","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:05.788","Whats Rng casts  Triplecast on Whats Rng",""
"00:00:06.456","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:07.258","Whats Rng casts  Item_Fbfb3 on Whats Rng",""
"00:00:08.505","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:09.173","Whats Rng casts  Swiftcast on Whats Rng",""
"00:00:10.509","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:11.178","Whats Rng casts  Lucid Dreaming on Whats Rng",""
"00:00:12.471","Whats Rng casts  Despair on Fatebreaker",""
"00:00:13.183","Whats Rng casts  Manafont on Whats Rng",""
"00:00:14.472","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:16.165","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:16.834","Whats Rng begins casting  Despair on Fatebreaker",""
"00:00:18.705","Whats Rng casts  Despair on Fatebreaker",""
"00:00:19.284","Whats Rng casts  Thunder III on Fatebreaker",""
"00:00:19.996","Whats Rng casts  Transpose on Whats Rng",""
"00:00:21.292","Whats Rng begins casting  Fire III on Fatebreaker",""
"00:00:23.567","Whats Rng casts  Fire III on Fatebreaker",""
"00:00:24.190","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:25.882","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:26.504","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:28.196","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:28.866","Whats Rng begins casting  Fire IV on Fatebreaker",""
"00:00:30.957","Whats Rng casts  Fire IV on Fatebreaker",""
"00:00:31.578","Whats Rng casts  Xenoglossy on Fatebreaker",""
